order_id,customer_id,customer_name,customer_segment,order_status,item_id,item_name,item_price,total,ds
330873,2560,Alicia Mason,Budget,cancelled,ITM013,Router,388.2,388.2,2025-10-26
330873,2560,Alicia Mason,Budget,cancelled,ITM012,Speaker,182.74,570.94,2025-10-26
815128,1735,Dennis Wells,Premium,pending,ITM009,Desk Lamp,305.17,305.17,2025-10-26
815128,1735,Dennis Wells,Premium,pending,ITM001,Laptop,370.41,675.58,2025-10-26
815128,1735,Dennis Wells,Premium,pending,ITM006,Webcam,433.59,1109.17,2025-10-26
425228,8185,Rachel Clark,Premium,pending,ITM015,SSD,344.92,344.92,2025-10-26
425228,8185,Rachel Clark,Premium,pending,ITM001,Laptop,394.93,739.85,2025-10-26
425228,8185,Rachel Clark,Premium,pending,ITM007,USB Cable,335.57,1075.42,2025-10-26
824747,5091,Laurie Pierce,Premium,cancelled,ITM013,Router,320.16,320.16,2025-10-26
824747,5091,Laurie Pierce,Premium,cancelled,ITM002,Mouse,399.52,719.68,2025-10-26
824747,5091,Laurie Pierce,Premium,cancelled,ITM001,Laptop,206.27,925.95,2025-10-26
256236,9577,Mr. William Sweeney,Premium,cancelled,ITM015,SSD,199.36,199.36,2025-10-26
730483,5205,Carlos Green,Enterprise,cancelled,ITM011,Charger,93.42,93.42,2025-10-26
730483,5205,Carlos Green,Enterprise,cancelled,ITM015,SSD,137.66,231.08,2025-10-26
730483,5205,Carlos Green,Enterprise,cancelled,ITM014,Hard Drive,355.55,586.63,2025-10-26
730483,5205,Carlos Green,Enterprise,cancelled,ITM010,Phone Case,318.61,905.24,2025-10-26
730483,5205,Carlos Green,Enterprise,cancelled,ITM013,Router,84.52,989.76,2025-10-26
133000,4941,Daniel Mitchell,Enterprise,cancelled,ITM013,Router,207.69,207.69,2025-10-26
133000,4941,Daniel Mitchell,Enterprise,cancelled,ITM014,Hard Drive,232.69,440.38,2025-10-26
133000,4941,Daniel Mitchell,Enterprise,cancelled,ITM001,Laptop,484.06,924.44,2025-10-26
133000,4941,Daniel Mitchell,Enterprise,cancelled,ITM004,Monitor,442.37,1366.81,2025-10-26
133000,4941,Daniel Mitchell,Enterprise,cancelled,ITM011,Charger,130.57,1497.38,2025-10-26
459021,3105,Traci Vazquez MD,Standard,other,ITM003,Keyboard,369.16,369.16,2025-10-26
480169,4216,Melissa Cross,Premium,shipped,ITM006,Webcam,32.89,32.89,2025-10-26
480169,4216,Melissa Cross,Premium,shipped,ITM004,Monitor,207.12,240.01,2025-10-26
936841,4173,Nicole Estes,Budget,cancelled,ITM014,Hard Drive,383.69,383.69,2025-10-26
936841,4173,Nicole Estes,Budget,cancelled,ITM012,Speaker,263.38,647.07,2025-10-26
936841,4173,Nicole Estes,Budget,cancelled,ITM010,Phone Case,117.36,764.43,2025-10-26
840180,1415,Jessica Houston,Standard,shipped,ITM009,Desk Lamp,220.31,220.31,2025-10-26
743463,7718,Kristin Davidson,Enterprise,other,ITM003,Keyboard,119.95,119.95,2025-10-26
743463,7718,Kristin Davidson,Enterprise,other,ITM015,SSD,146.92,266.87,2025-10-26
107834,1883,Jamie Webster,Budget,cancelled,ITM001,Laptop,160.41,160.41,2025-10-26
107834,1883,Jamie Webster,Budget,cancelled,ITM006,Webcam,302.46,462.87,2025-10-26
107834,1883,Jamie Webster,Budget,cancelled,ITM002,Mouse,134.94,597.81,2025-10-26
292108,4028,Patricia Grant,Enterprise,cancelled,ITM004,Monitor,88.74,88.74,2025-10-26
292108,4028,Patricia Grant,Enterprise,cancelled,ITM006,Webcam,119.93,208.67,2025-10-26
292108,4028,Patricia Grant,Enterprise,cancelled,ITM014,Hard Drive,55.82,264.49,2025-10-26
987409,8455,Jonathan Barnett,Standard,other,ITM013,Router,78.47,78.47,2025-10-26
987409,8455,Jonathan Barnett,Standard,other,ITM001,Laptop,175.88,254.35,2025-10-26
987409,8455,Jonathan Barnett,Standard,other,ITM012,Speaker,350.57,604.92,2025-10-26
987409,8455,Jonathan Barnett,Standard,other,ITM015,SSD,57.48,662.4,2025-10-26
987409,8455,Jonathan Barnett,Standard,other,ITM008,Desk Chair,119.56,781.96,2025-10-26
