order_id,customer_id,customer_name,customer_segment,order_status,item_id,item_name,item_price,total,ds
122162,3558,Mr. Ryan Deleon,Enterprise,shipped,ITM002,Mouse,396.18,396.18,2025-10-28
122162,3558,Mr. Ryan Deleon,Enterprise,shipped,ITM005,Headphones,71.28,467.46,2025-10-28
122162,3558,Mr. Ryan Deleon,Enterprise,shipped,ITM006,Webcam,487.96,955.42,2025-10-28
741509,2474,Angela Brown,Premium,new,ITM007,USB Cable,299.72,299.72,2025-10-28
576086,4097,Michael Morales,Standard,shipped,ITM011,Charger,296.02,296.02,2025-10-28
576086,4097,Michael Morales,Standard,shipped,ITM014,Hard Drive,129.1,425.12,2025-10-28
281277,8284,Kayla Garner,Budget,cancelled,ITM004,Monitor,425.87,425.87,2025-10-28
281277,8284,Kayla Garner,Budget,cancelled,ITM003,Keyboard,459.61,885.48,2025-10-28
281277,8284,Kayla Garner,Budget,cancelled,ITM012,Speaker,238.02,1123.5,2025-10-28
281277,8284,Kayla Garner,Budget,cancelled,ITM005,Headphones,397.78,1521.28,2025-10-28
281277,8284,Kayla Garner,Budget,cancelled,ITM014,Hard Drive,296.63,1817.91,2025-10-28
648699,2526,Sandra Lewis,Budget,new,ITM012,Speaker,300.62,300.62,2025-10-28
108931,7922,Nicholas Mitchell,Standard,pending,ITM011,Charger,393.23,393.23,2025-10-28
108931,7922,Nicholas Mitchell,Standard,pending,ITM003,Keyboard,352.94,746.17,2025-10-28
753025,1450,Rodney Gordon,Premium,shipped,ITM011,Charger,158.32,158.32,2025-10-28
753025,1450,Rodney Gordon,Premium,shipped,ITM008,Desk Chair,442.85,601.17,2025-10-28
762521,5554,Michael Hansen,Enterprise,shipped,ITM014,Hard Drive,358.19,358.19,2025-10-28
762521,5554,Michael Hansen,Enterprise,shipped,ITM002,Mouse,10.71,368.9,2025-10-28
896323,7750,Roger Brown,Budget,shipped,ITM013,Router,256.19,256.19,2025-10-28
896323,7750,Roger Brown,Budget,shipped,ITM014,Hard Drive,388.03,644.22,2025-10-28
896323,7750,Roger Brown,Budget,shipped,ITM012,Speaker,384.2,1028.42,2025-10-28
896323,7750,Roger Brown,Budget,shipped,ITM004,Monitor,38.84,1067.26,2025-10-28
704730,5042,Amanda Moore,Budget,other,ITM002,Mouse,462.22,462.22,2025-10-28
704730,5042,Amanda Moore,Budget,other,ITM013,Router,117.61,579.83,2025-10-28
963951,5612,John Watson,Budget,cancelled,ITM003,Keyboard,376.76,376.76,2025-10-28
963951,5612,John Watson,Budget,cancelled,ITM005,Headphones,287.51,664.27,2025-10-28
